Numero_processo;Superintendencia;Status_processo;Fase_processo;Situacao_processo;Data_instauracao;Ano_instauracao;Data_cumprimento_intimacao;Ano_cumprimento_intimacao;Data_prazo_regimental;Ano_prazo_regimental;Data_DOU;Ano_DOU;Data_encerramento;Ano_encerramento;Tipologia;Grupo_economico;Servico_telecom;Sistema_cadastro;Unidade_responsavel;Pagamento_multa;Situacao_multa;Renuncia;Recurso_juridico;CADIN;Divida_ativa;Valor_multa;Saldo_devedor
535120011102018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;29/11/2018;2018;29/11/2018;2018;28/05/2019;2019;19/03/2019;2019;19/03/2019;2019;PADO: Não Outorgado - Radiofrequência;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR02CO;0;3;0;0;0;0;3470,10;3470,10
535000542162018;SCO;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;28/11/2018;2018;03/01/2019;2019;02/07/2019;2019;21/06/2019;2019;21/06/2019;2019;PADO: Direitos do Consumidor - SCM;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;CODI;0;3;0;0;0;0;660,00;660,00
535540033572018;SFI;Ativo;Decisória;Formalização da Decisão;21/11/2018;2018;21/11/2018;2018;20/05/2019;2019;;;;;PADO: Certificação e Não Outorgado - Radiofrequência;OUTROS;SERVIÇO MOVEL PESSOAL;SEI;GR08CO;0;3;0;0;0;0;620,00;620,00
535540038872018;SFI;Ativo;Recursal;Informe Recursal;21/11/2018;2018;21/11/2018;2018;20/05/2019;2019;;;;;PADO: Não Outorgado - Radiofrequência;OUTROS;SERVIÇO MOVEL PESSOAL;SEI;GR08CO;0;3;0;0;0;0;440,00;440,00
535120010332018;SFI;Ativo;Decisória;Expedição do Ofício da Decisão;16/11/2018;2018;16/11/2018;2018;15/05/2019;2019;;;;;PADO: Não Outorgado - Radiofrequência;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR02CO;0;3;0;0;0;0;440,00;440,00
535000513202018;SFI;Ativo;Decisória;Expedição do Ofício da Decisão;12/11/2018;2018;08/01/2019;2019;07/07/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR01CO;0;3;0;0;0;0;20000,00;20000,00
535000513152018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;12/11/2018;2018;27/11/2018;2018;26/05/2019;2019;18/06/2019;2019;18/06/2019;2019;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR01CO;0;3;0;0;0;0;20200,00;20200,00
535000513092018;SFI;Ativo;Recursal;Recebimento de PADO Redistribuído;12/11/2018;2018;21/11/2018;2018;20/05/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR03CO;0;3;0;0;0;0;22000,00;22000,00
535000513092018;SFI;Ativo;Recursal;Recebimento de PADO Redistribuído;12/11/2018;2018;21/11/2018;2018;20/05/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;GR03CO;0;3;0;0;0;0;22000,00;22000,00
535540031042018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;07/11/2018;2018;14/11/2018;2018;13/05/2019;2019;13/04/2019;2019;13/04/2019;2019;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR08CO;1;2;0;0;0;0;51500,00;12875,00
535000506382018;SCO;Ativo;Decisória;Cumprimento da Intimação da Decisão;06/11/2018;2018;06/02/2019;2019;05/08/2019;2019;;;;;PADO: Remuneração de Redes;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;COGE;0;3;0;0;0;0;21202,06;21202,06
535000502182018;SCO;Ativo;Decisória;Cumprimento da Intimação da Decisão;01/11/2018;2018;06/02/2019;2019;05/08/2019;2019;;;;;PADO: Remuneração de Redes;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;COGE;0;3;0;0;0;0;164578,47;164578,47
535000500522018;SCO;Ativo;Decisória;Formalização da Decisão;31/10/2018;2018;08/11/2018;2018;07/05/2019;2019;;;;;PADO: Interconexão;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;COGE;0;3;0;0;0;0;30632,23;30632,23
535000487672018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;30/10/2018;2018;23/11/2018;2018;22/05/2019;2019;07/03/2019;2019;07/03/2019;2019;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR10CO;0;3;0;0;0;0;20400,00;20400,00
535000487462018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;30/10/2018;2018;23/11/2018;2018;22/05/2019;2019;12/02/2019;2019;12/02/2019;2019;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR10CO;0;3;0;0;0;0;330000,00;330000,00
535000487922018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;30/10/2018;2018;09/11/2018;2018;08/05/2019;2019;21/02/2019;2019;21/02/2019;2019;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR10CO;0;3;0;0;0;0;100000,00;100000,00
535000487532018;SFI;Ativo;Decisória;Formalização da Decisão;30/10/2018;2018;08/11/2018;2018;07/05/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;GR06CO;0;3;0;0;0;0;101000,00;101000,00
535000487302018;SFI;Ativo;Decisória;Formalização da Decisão;30/10/2018;2018;07/11/2018;2018;06/05/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR08CO;0;3;0;0;0;0;101000,00;101000,00
535000487242018;SFI;Ativo;Recursal;Recebimento de PADO Redistribuído;30/10/2018;2018;07/11/2018;2018;06/05/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR08CO;0;3;0;0;0;0;330000,00;330000,00
535120009822018;SFI;Ativo;Decisória;Expedição do Ofício da Decisão;30/10/2018;2018;30/10/2018;2018;28/04/2019;2019;;;;;PADO: Não Outorgado - Radiofrequência;OUTROS;SERVIÇO MOVEL PESSOAL;SEI;GR02CO;1;1;0;0;0;0;440,00;0,00
535120009772018;SFI;Encerrado;Trânsito em Julgado;Apresentação de Renúncia ao Direito de Recorrer;29/10/2018;2018;29/10/2018;2018;27/04/2019;2019;05/06/2019;2019;05/06/2019;2019;PADO: Não Outorgado - Radiofrequência;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR01CO;0;3;0;0;0;0;330,00;330,00
535120009802018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;29/10/2018;2018;29/10/2018;2018;27/04/2019;2019;02/05/2019;2019;02/05/2019;2019;PADO: Não Outorgado - Radiofrequência;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR02CO;1;1;0;0;0;0;638,02;0,00
535000487512018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;25/10/2018;2018;22/11/2018;2018;21/05/2019;2019;29/04/2019;2019;29/04/2019;2019;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR09CO;0;3;0;0;0;0;100000,00;100000,00
535000487812018;SFI;Ativo;Decisória;Formalização da Decisão;25/10/2018;2018;14/11/2018;2018;13/05/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR03CO;0;3;0;0;0;0;20000,00;20000,00
535000487642018;SFI;Ativo;Decisória;Expedição do Ofício da Decisão;25/10/2018;2018;13/11/2018;2018;12/05/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR09CO;0;3;0;0;0;0;440,00;440,00
535000487932018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;25/10/2018;2018;09/11/2018;2018;08/05/2019;2019;19/04/2019;2019;19/04/2019;2019;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR05CO;1;1;1;0;0;0;15000,00;0,00
535000489932018;SCO;Ativo;Decisória;Expedição do Ofício da Decisão;25/10/2018;2018;08/11/2018;2018;07/05/2019;2019;;;;;PADO: Obrigações Legais e Contratuais;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;COGE;1;1;0;0;0;0;2500,00;0,00
535000487402018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;25/10/2018;2018;08/11/2018;2018;07/05/2019;2019;14/05/2019;2019;14/05/2019;2019;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR01CO;0;3;0;0;0;0;50000,00;50000,00
535000487212018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;25/10/2018;2018;07/11/2018;2018;06/05/2019;2019;25/06/2019;2019;25/06/2019;2019;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR01CO;0;3;0;0;0;0;20000,00;20000,00
535000487472018;SFI;Ativo;Decisória;Cumprimento da Intimação da Decisão;25/10/2018;2018;12/09/2018;2018;11/03/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;FIGF;0;3;0;0;0;0;50000,00;50000,00
535280045602016;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;10/10/2018;2018;22/10/2018;2018;20/04/2019;2019;16/04/2019;2019;16/04/2019;2019;PADO: Não Outorgado - Serviço;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;GR05CO;1;1;1;0;0;0;14822,50;0,00
535540023802018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;04/10/2018;2018;25/10/2018;2018;23/04/2019;2019;25/03/2019;2019;25/03/2019;2019;PADO: Licenciamento de Estação;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR08CO;1;1;1;0;0;0;480,00;0,00
535540023782018;SFI;Ativo;Decisória;Formalização da Decisão;03/10/2018;2018;05/12/2018;2018;03/06/2019;2019;;;;;PADO: Certificação e Não Outorgado - Radiofrequência;OUTROS;SERVIÇO MOVEL PESSOAL;SEI;GR08CO;0;3;0;0;0;0;640,00;640,00
535000445502018;SCO;Ativo;Decisória;Cumprimento da Intimação da Decisão;27/09/2018;2018;11/01/2019;2019;10/07/2019;2019;;;;;PADO: Direitos do Consumidor - SMP;OI;SERVIÇO MOVEL PESSOAL;SEI;CODI;0;3;0;0;0;0;164623,53;164623,53
535000443432018;SCO;Ativo;Decisória;Cumprimento da Intimação da Decisão;26/09/2018;2018;09/01/2019;2019;08/07/2019;2019;;;;;PADO: Descumprimento de Determinação;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;COGE;0;3;0;0;0;0;1827,90;1827,90
535000443342018;SCO;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;26/09/2018;2018;09/01/2019;2019;08/07/2019;2019;24/05/2019;2019;24/05/2019;2019;PADO: Remuneração de Redes;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;COGE;0;3;0;0;0;0;100605,20;100605,20
535000438742018;SCO;Ativo;Decisória;Cumprimento da Intimação da Decisão;24/09/2018;2018;04/10/2018;2018;02/04/2019;2019;;;;;PADO: Interconexão;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;COGE;0;3;0;0;0;0;66152,86;66152,86
535160138222018;SFI;Ativo;Decisória;Formalização da Decisão;20/09/2018;2018;05/10/2018;2018;03/04/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR03CO;0;3;0;0;0;0;333300,00;333300,00
535240030172018;SFI;Encerrado;Trânsito em Julgado;Expedição do Ofício sobre a Renúncia ao Direito de Recorrer;19/09/2018;2018;10/10/2018;2018;08/04/2019;2019;16/11/2018;2018;16/11/2018;2018;PADO: Certificação de Produtos;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR04CO;1;1;1;0;0;0;1518,75;0,00
535690023982018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;14/09/2018;2018;14/09/2018;2018;13/03/2019;2019;11/02/2019;2019;11/02/2019;2019;PADO: Não Outorgado - Serviço;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR10CO;1;1;1;0;0;0;1804,10;0,00
535000403792018;SCO;Ativo;Decisória;Cumprimento da Intimação da Decisão;06/09/2018;2018;07/01/2019;2019;06/07/2019;2019;;;;;PADO: Interconexão;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;COGE;0;3;0;0;0;0;280959,91;280959,91
535280010392018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;22/08/2018;2018;03/09/2018;2018;02/03/2019;2019;25/03/2019;2019;25/03/2019;2019;PADO: Não Outorgado - Serviço;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR05CO;0;3;0;0;0;0;2672,75;2672,75
535000385722018;SCO;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;17/08/2018;2018;10/09/2018;2018;09/03/2019;2019;16/04/2019;2019;16/04/2019;2019;PADO: Alteração Societária;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;COGE;1;1;0;0;0;0;133,28;0,00
535000386042018;SCO;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;17/08/2018;2018;10/09/2018;2018;09/03/2019;2019;16/04/2019;2019;16/04/2019;2019;PADO: Alteração Societária;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;COGE;1;1;0;0;0;0;110,00;0,00
535000383862018;SCO;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;16/08/2018;2018;11/08/2018;2018;07/02/2019;2019;24/05/2019;2019;24/05/2019;2019;PADO: Alteração Societária;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;COGE;1;1;0;0;0;0;110,00;0,00
535000360622018;SCO;Ativo;Recursal;Apresentação de Recurso;06/08/2018;2018;09/08/2018;2018;05/02/2019;2019;;;;;PADO: Interconexão;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;COGE;0;3;0;0;0;0;1600000,00;1600000,00
535420012732018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;31/07/2018;2018;13/08/2018;2018;09/02/2019;2019;22/02/2019;2019;22/02/2019;2019;PADO: Certificação de Produtos;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR07CO;1;1;1;0;0;0;480,00;0,00
535000333872018;SCO;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;30/07/2018;2018;13/08/2018;2018;09/02/2019;2019;28/02/2019;2019;28/02/2019;2019;PADO: Interconexão;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;COGE;0;3;0;0;0;1;64930,09;64930,09
535390004692018;SFI;Ativo;Decisória;Formalização da Decisão;27/07/2018;2018;09/08/2018;2018;05/02/2019;2019;;;;;PADO: Certificação de Produtos;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR06CO;0;3;0;0;0;0;2442,00;2442,00
535000264722018;SCO;Ativo;Decisória;Cumprimento da Intimação da Decisão;17/07/2018;2018;09/01/2019;2019;08/07/2019;2019;;;;;PADO: Interconexão;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;COGE;0;3;0;0;0;0;79049,52;79049,52
535000323412018;SCO;Ativo;Decisória;Cumprimento da Intimação da Decisão;17/07/2018;2018;09/01/2019;2019;08/07/2019;2019;;;;;PADO: Descumprimento de Determinação;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;COGE;0;3;0;0;0;0;1701,45;1701,45
535000274532018;SFI;Ativo;Decisória;Formalização da Decisão;09/07/2018;2018;21/11/2018;2018;20/05/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR06CO;0;3;0;0;0;0;25206,55;25206,55
535000274592018;SFI;Ativo;Decisória;Formalização da Decisão;09/07/2018;2018;20/11/2018;2018;19/05/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR06CO;0;3;0;0;0;0;330000,00;330000,00
535000274562018;SFI;Ativo;Decisória;Formalização da Decisão;09/07/2018;2018;12/11/2018;2018;11/05/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR08CO;0;3;0;0;0;0;333300,00;333300,00
535000275052018;SFI;Ativo;Decisória;Cumprimento da Intimação da Decisão;09/07/2018;2018;12/11/2018;2018;11/05/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR07CO;0;3;0;0;0;0;50000,00;50000,00
535000275212018;SFI;Ativo;Decisória;Formalização da Decisão;09/07/2018;2018;12/11/2018;2018;11/05/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR06CO;0;3;0;0;0;0;50000,00;50000,00
535000275182018;SFI;Ativo;Recursal;Apresentação de Recurso;09/07/2018;2018;12/11/2018;2018;11/05/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR08CO;0;3;0;0;0;0;50000,00;50000,00
535000273972018;SFI;Ativo;Decisória;Formalização da Decisão;09/07/2018;2018;02/08/2018;2018;29/01/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVICO TELEFONICO FIXO COMUTADO;SEI;GR08CO;0;3;0;0;0;0;118000,00;118000,00
535000275132018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;09/07/2018;2018;01/08/2018;2018;28/01/2019;2019;16/02/2019;2019;16/02/2019;2019;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR07CO;1;2;0;0;0;0;11992,91;3027,81
535000274952018;SFI;Ativo;Recursal;Decisão de Admissibilidade de Recurso;09/07/2018;2018;31/07/2018;2018;27/01/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR03CO;0;3;0;0;0;0;20000,00;20000,00
535000274252018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;09/07/2018;2018;31/07/2018;2018;27/01/2019;2019;19/11/2018;2018;19/11/2018;2018;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR10CO;0;3;0;0;0;0;50000,00;50000,00
535000275232018;SFI;Ativo;Decisória;Formalização da Decisão;09/07/2018;2018;30/07/2018;2018;26/01/2019;2019;;;;;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR06CO;0;3;0;0;0;0;20000,00;20000,00
535000275092018;SFI;Encerrado;Trânsito em Julgado;Formalização do Trânsito em Julgado Administrativo;09/07/2018;2018;30/07/2018;2018;26/01/2019;2019;13/03/2019;2019;13/03/2019;2019;PADO: Obstrução à Fiscalização;OUTROS;SERVIÇO DE COMUNICAÇÃO MULTIMÍDIA;SEI;GR10CO;0;3;0;0;0;0;12817,87;12817,87
