Num_processo;Superintendencia;Tipologia_processo;Servico_telecom;Grupo_economico;Duracao_processo;Renuncia;Situacao_multa;Recurso_juridico;Cadin;Divida_ativa;Valor_multa;Saldo_devedor
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;201;Nao;Devedor;Nao;Nao;Nao;50.000,00;50.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;243;Nao;Devedor;Nao;Nao;Nao;20.000,00;20.000,00
5,3528E+14;SFI;Não Outorgado - Serviço;STFC;OUTROS;188;Nao;Parcial;Nao;Nao;Nao;24.704,16;9.881,66
5,3554E+14;SFI;Licenciamento de Estação;SCM;OUTROS;172;Sim;Quitado;Nao;Nao;Nao;480;0
5,35E+14;SCO;Direitos do Consumidor - SMP;SMP;OI;279;Nao;Devedor;Nao;Nao;Nao;123.467,65;123.467,65
5,35E+14;SCO;Remuneração de Redes;STFC;OUTROS;240;Nao;Devedor;Nao;Nao;Nao;100.605,20;100.605,20
5,3524E+14;SFI;Certificação de Produtos;SCM;OUTROS;58;Sim;Quitado;Nao;Nao;Nao;1.518,75;0
5,3569E+14;SFI;Não Outorgado - Serviço;SCM;OUTROS;150;Sim;Quitado;Nao;Nao;Nao;1.804,10;0
5,3528E+14;SFI;Não Outorgado - Serviço;SCM;OUTROS;215;Nao;Devedor;Nao;Nao;Sim;2.672,75;2.672,75
5,35E+14;SCO;Alteração Societária;SCM;OUTROS;242;Nao;Quitado;Nao;Nao;Nao;133,28;0
5,35E+14;SCO;Alteração Societária;SCM;OUTROS;242;Nao;Quitado;Nao;Nao;Nao;110;0
5,35E+14;SCO;Alteração Societária;SCM;OUTROS;281;Nao;Quitado;Nao;Nao;Nao;110;0
5,3542E+14;SFI;Certificação de Produtos;SCM;OUTROS;206;Sim;Quitado;Nao;Nao;Nao;480;0
5,35E+14;SCO;Interconexão;STFC;OUTROS;213;Nao;Devedor;Nao;Nao;Sim;64.930,09;64.930,09
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;327;Nao;Devedor;Nao;Nao;Nao;50.000,00;50.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;284;Nao;Devedor;Nao;Nao;Nao;333.300,00;333.300,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;222;Nao;Parcial;Nao;Nao;Nao;11.992,91;3.027,81
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;133;Nao;Devedor;Nao;Nao;Nao;50.000,00;50.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;247;Nao;Devedor;Nao;Nao;Nao;12.817,87;12.817,87
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;215;Nao;Devedor;Nao;Nao;Nao;20.000,00;20.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;287;Nao;Devedor;Nao;Nao;Nao;20.000,00;20.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;215;Nao;Quitado;Nao;Nao;Nao;440;0
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;213;Nao;Devedor;Nao;Nao;Nao;101.000,00;101.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;283;Nao;Devedor;Nao;Nao;Nao;20.000,00;20.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;382;Nao;Quitado;Nao;Nao;Nao;440;0
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;335;Nao;Devedor;Nao;Nao;Nao;339.900,00;339.900,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;290;Nao;Devedor;Nao;Nao;Nao;20.200,00;20.200,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;291;Nao;Devedor;Nao;Nao;Nao;333.300,00;333.300,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;279;Nao;Quitado;Nao;Nao;Nao;440;0
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;227;Nao;Devedor;Nao;Nao;Sim;8.157,06;8.157,06
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;249;Sim;Quitado;Nao;Nao;Nao;484,8;0
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;228;Nao;Devedor;Nao;Nao;Nao;440;440
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;199;Nao;Devedor;Nao;Nao;Nao;20.000,00;20.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SeAC;OUTROS;195;Nao;Devedor;Nao;Sim;Nao;20.800,00;20.800,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;189;Nao;Devedor;Nao;Nao;Nao;444,4;444,4
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;185;Nao;Devedor;Nao;Nao;Nao;50.000,00;50.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;182;Sim;Quitado;Nao;Nao;Nao;554,25;0
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;251;Nao;Devedor;Nao;Nao;Nao;440;440
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;221;Nao;Devedor;Nao;Nao;Nao;50.000,00;50.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;199;Nao;Devedor;Nao;Nao;Sim;20.200,00;20.200,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;185;Nao;Devedor;Nao;Nao;Sim;333.300,00;333.300,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;297;Nao;Devedor;Nao;Nao;Nao;20.200,00;20.200,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;336;Nao;Devedor;Nao;Nao;Nao;55.000,00;55.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;206;Nao;Quitado;Nao;Nao;Nao;1.371,00;0
5,35E+14;SFI;Obstrução à Fiscalização;STFC;OUTROS;206;Nao;Quitado;Nao;Nao;Nao;1.371,00;0
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;255;Nao;Devedor;Nao;Nao;Nao;101.000,00;101.000,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;217;Nao;Devedor;Nao;Nao;Sim;333.300,00;333.300,00
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;339;Nao;Devedor;Nao;Nao;Nao;448,8;448,8
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;139;Nao;Quitado;Nao;Nao;Nao;444,4;0
5,35E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;181;Nao;Devedor;Nao;Nao;Sim;20.200,00;20.200,00
5,3516E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;211;Nao;Quitado;Nao;Nao;Nao;440;0
5,35E+14;SCO;Direitos do Consumidor - STFC;STFC;TELEFÔNICA;371;Sim;Quitado;Nao;Nao;Nao;9.375,00;0
5,35E+14;SCO;Direitos do Consumidor - Convergente;STFC;TELEFÔNICA;367;Sim;Quitado;Nao;Nao;Nao;30.779,94;0
5,3524E+14;SFI;Licenciamento de Estação;SMP;CLARO;195;Nao;Quitado;Nao;Nao;Nao;5.000,00;0
5,3512E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;256;Nao;Devedor;Nao;Nao;Nao;1.196,04;1.196,04
5,3569E+14;SFI;Certificação e Não Outorgado - Serviço e Radiofrequência;SCM;OUTROS;157;Nao;Devedor;Nao;Nao;Nao;2.358,62;2.358,62
5,3569E+14;SFI;Certificação e Não Outorgado - Serviço e Radiofrequência;SCM;OUTROS;167;Sim;Quitado;Nao;Nao;Nao;1.455,91;0
5,35E+14;SCO;Obrigações Legais e Contratuais;SMP;CLARO;262;Sim;Quitado;Nao;Nao;Nao;44.144,77;0
5,3508E+14;SFI;Licenciamento de Estação;SMP;TIM;180;Sim;Quitado;Nao;Nao;Nao;3.750,00;0
5,35E+14;SCO;Obrigações Legais e Contratuais;STFC;OUTROS;99;Sim;Quitado;Nao;Nao;Nao;2.112,65;0
5,35E+14;SCO;Obrigações Legais e Contratuais;STFC;SERCOMTEL;99;Sim;Quitado;Nao;Nao;Nao;2.112,65;0
5,35E+14;SCO;Direitos do Consumidor - STFC;STFC;TELEFÔNICA;415;Nao;Devedor;Nao;Nao;Nao;26.063,45;26.063,45
5,35E+14;SCO;Interconexão;STFC;OI;229;Nao;Devedor;Nao;Sim;Sim;154.296,44;154.296,44
5,3524E+14;SFI;Certificação de Produtos;SMP;OUTROS;335;Nao;Devedor;Nao;Nao;Nao;27.500,00;27.500,00
5,3554E+14;SFI;Certificação e Não Outorgado - Radiofrequência;SMP;OUTROS;284;Nao;Quitado;Nao;Nao;Nao;898,02;0
5,3524E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;181;Nao;Devedor;Nao;Sim;Sim;2.152,86;2.152,86
5,35E+14;SCO;Alteração Societária;SCM;OUTROS;377;Sim;Quitado;Nao;Nao;Nao;104,74;0
5,3542E+14;SFI;Licenciamento de Estação;SCM;OUTROS;202;Sim;Quitado;Nao;Nao;Nao;335,2;0
5,3524E+14;SFI;Certificação de Produtos;SMP;OUTROS;184;Nao;Quitado;Nao;Nao;Nao;1.152,00;0
5,35E+14;SCO;Alteração Societária;SCM;OUTROS;294;Nao;Quitado;Nao;Nao;Nao;161,89;0
5,3504E+14;SFI;Irregularidade Técnica e Certificação;SMP;OUTROS;137;Sim;Quitado;Nao;Nao;Nao;82,5;0
5,3524E+14;SFI;Não Outorgado - Serviço;SCM;OUTROS;168;Nao;Devedor;Nao;Sim;Sim;2.872,75;2.872,75
5,3554E+14;SFI;Certificação e Não Outorgado - Radiofrequência;SMP;OUTROS;211;Sim;Quitado;Nao;Nao;Nao;1.794,10;0
5,3554E+14;SFI;Certificação e Não Outorgado - Radiofrequência;SMP;OUTROS;301;Nao;Devedor;Nao;Nao;Nao;1.196,16;1.196,16
5,3524E+14;SFI;Certificação de Produtos;SCM;OUTROS;195;Sim;Quitado;Nao;Nao;Nao;2.864,25;0
5,3528E+14;SFI;Não Outorgado - Radiofrequência;SCM;OUTROS;177;Nao;Quitado;Nao;Nao;Nao;957,03;0
5,3504E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;202;Nao;Devedor;Nao;Nao;Nao;4.000,00;4.000,00
5,3554E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;202;Nao;Quitado;Nao;Nao;Nao;2.392,08;0
5,3554E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;202;Nao;Quitado;Nao;Nao;Nao;2.392,08;0
5,3554E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;202;Sim;Quitado;Nao;Nao;Nao;1.794,06;0
5,3524E+14;SFI;Não Outorgado - Radiofrequência;SCM;OUTROS;172;Sim;Quitado;Nao;Nao;Nao;3.123,09;0
5,3504E+14;SFI;Certificação e Não Outorgado - Serviço e Radiofrequência;SMP;OUTROS;159;Nao;Devedor;Nao;Sim;Sim;1.098,02;1.098,02
5,3569E+14;SFI;Não Outorgado - Serviço;SCM;OUTROS;272;Nao;Devedor;Nao;Nao;Nao;2.672,75;2.672,75
5,3545E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;179;Sim;Quitado;Nao;Nao;Nao;330;0
5,3545E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;174;Nao;Quitado;Nao;Nao;Nao;538,22;0
5,3545E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;184;Nao;Quitado;Nao;Nao;Nao;440;0
5,35E+14;SCO;Alteração Societária;SCM;OUTROS;302;Nao;Quitado;Nao;Nao;Nao;174,55;0
5,3504E+14;SFI;Não Outorgado - Serviço;SMP;TELEFÔNICA;198;Sim;Quitado;Nao;Nao;Nao;5.491,16;0
5,3504E+14;SFI;Certificação e Não Outorgado - Radiofrequência;SMP;OUTROS;174;Nao;Quitado;Nao;Nao;Nao;1.088,02;0
5,3504E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;184;Nao;Devedor;Nao;Nao;Nao;598,02;598,02
5,3504E+14;SFI;Licenciamento de Estação;SMP;CLARO;178;Sim;Quitado;Nao;Nao;Nao;3.750,00;0
5,3569E+14;SFI;Não Outorgado - Serviço;SCM;OUTROS;156;Nao;Devedor;Nao;Nao;Nao;2.405,47;2.405,47
5,3545E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;186;Nao;Quitado;Nao;Nao;Nao;538,22;0
5,3542E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;186;Nao;Quitado;Nao;Nao;Nao;440;0
5,3545E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;186;Nao;Quitado;Nao;Nao;Nao;440;0
5,3554E+14;SFI;Certificação de Produtos;SMP;OUTROS;196;Nao;Devedor;Nao;Sim;Nao;11.760,00;11.760,00
5,3504E+14;SFI;Irregularidade Técnica;SCM;OUTROS;163;Sim;Quitado;Nao;Nao;Nao;744,15;0
5,352E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;202;Sim;Quitado;Nao;Nao;Nao;5.205,16;0
5,35001E+14;SCO;Alteração Societária;SCM;OUTROS;266;Nao;Quitado;Nao;Nao;Nao;178,06;0
5,3524E+14;SFI;Não Outorgado - Serviço;SeAC;OUTROS;188;Nao;Devedor;Nao;Nao;Nao;5.345,49;5.345,49
5,3545E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;174;Nao;Quitado;Nao;Nao;Nao;598,02;0
5,35001E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;202;Nao;Quitado;Nao;Nao;Nao;657,82;0
5,3554E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;211;Nao;Parcial;Nao;Nao;Nao;2.392,32;27,75
5,3504E+14;SFI;Não Outorgado - Serviço;SCM;OUTROS;224;Nao;Devedor;Nao;Sim;Sim;7.002,59;7.002,59
5,3512E+14;SFI;Irregularidade Técnica e Certificação;SMP;OUTROS;116;Nao;Quitado;Nao;Nao;Nao;2.265,37;0
5,3548E+14;SFI;Irregularidade Técnica;SMP;TIM;189;Sim;Quitado;Nao;Nao;Nao;36.993,02;0
5,3528E+14;SFI;Certificação de Produtos;SeAC;OUTROS;248;Nao;Devedor;Nao;Nao;Nao;20.320,00;20.320,00
5,3504E+14;SFI;Não Outorgado - Serviço;SCM;OUTROS;189;Nao;Devedor;Nao;Nao;Nao;5.345,49;5.345,49
5,3554E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;247;Sim;Quitado;Nao;Nao;Nao;1.794,24;0
5,3542E+14;SFI;Licenciamento de Estação;SCM;OUTROS;195;Nao;Quitado;Nao;Nao;Sim;446,93;0
5,3554E+14;SFI;Certificação e Não Outorgado - Radiofrequência;SMP;OUTROS;190;Nao;Devedor;Nao;Sim;Nao;2.392,08;2.392,08
5,3524E+14;SFI;Não Outorgado - Serviço;SCM;OUTROS;199;Nao;Parcial;Nao;Nao;Nao;2.672,75;2.561,28
5,3504E+14;SFI;Certificação de Produtos;SCM;OUTROS;197;Sim;Quitado;Nao;Nao;Nao;2.475,00;0
5,3524E+14;SFI;Certificação e Não Outorgado - Serviço;SCM;OUTROS;188;Sim;Quitado;Nao;Nao;Nao;2.004,56;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;404;Sim;Quitado;Nao;Nao;Nao;15.150,00;0
5,3504E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;249;Nao;Parcial;Nao;Nao;Nao;598,02;4,57
5,3569E+14;SFI;Não Outorgado - Serviço e Radiofrequência;SCM;OUTROS;186;Nao;Devedor;Nao;Nao;Nao;3.123,09;3.123,09
5,3504E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;174;Sim;Quitado;Nao;Nao;Nao;448,52;0
5,3504E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;156;Nao;Quitado;Nao;Nao;Nao;2.265,37;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;416;Nao;Devedor;Nao;Nao;Nao;670,28;670,28
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;395;Nao;Devedor;Nao;Nao;Nao;440;440
5,3504E+14;SFI;Não Outorgado - Serviço;SCM;OUTROS;266;Nao;Quitado;Nao;Nao;Nao;5.880,04;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;TELEFÔNICA;301;Nao;Devedor;Nao;Sim;Nao;20.000,00;20.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;201;Nao;Devedor;Nao;Sim;Nao;20.000,00;20.000,00
5,3504E+14;SFI;Não Outorgado - Radiofrequência;SMP;OUTROS;192;Sim;Quitado;Nao;Nao;Nao;448,52;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;543;Nao;Devedor;Nao;Nao;Nao;8.748,72;8.748,72
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;320;Sim;Quitado;Nao;Nao;Nao;3.046,13;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;477;Nao;Devedor;Nao;Nao;Nao;50.000,00;50.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;243;Nao;Devedor;Nao;Sim;Sim;8.710,31;8.710,31
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;174;Nao;Quitado;Nao;Nao;Nao;3.116,48;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;210;Nao;Devedor;Nao;Nao;Nao;20.000,00;20.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;197;Nao;Devedor;Nao;Sim;Sim;330.000,00;330.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;196;Nao;Devedor;Nao;Sim;Sim;20.000,00;20.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;414;Nao;Devedor;Nao;Nao;Nao;50.000,00;50.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;228;Nao;Devedor;Nao;Sim;Sim;101.000,00;101.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;224;Nao;Devedor;Nao;Nao;Nao;50.000,00;50.000,00
5,3504E+14;SFI;Certificação e Não Outorgado - Radiofrequência;SMP;OUTROS;181;Nao;Quitado;Nao;Nao;Nao;598,02;0
5,3516E+14;SFI;Certificação de Produtos;SCM;OUTROS;253;Sim;Quitado;Nao;Nao;Nao;41.250,00;0
5,3504E+14;SFI;Certificação e Não Outorgado - Serviço;SCM;OUTROS;168;Nao;Devedor;Nao;Sim;Sim;2.672,75;2.672,75
5,3578E+14;SFI;Certificação de Produtos;SCM;OUTROS;154;Sim;Quitado;Nao;Nao;Nao;8.140,50;0
5,3504E+14;SFI;Certificação e Não Outorgado - Radiofrequência;SMP;OUTROS;177;Nao;Quitado;Nao;Nao;Nao;598,02;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;570;Nao;Devedor;Nao;Nao;Nao;20.000,00;20.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;501;Nao;Devedor;Nao;Nao;Nao;20.000,00;20.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;482;Nao;Devedor;Nao;Nao;Nao;20.000,00;20.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;552;Nao;Devedor;Nao;Nao;Nao;101.000,00;101.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;371;Nao;Devedor;Nao;Nao;Nao;20.000,00;20.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SeAC;OUTROS;357;Nao;Devedor;Nao;Nao;Nao;53.000,00;53.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;336;Nao;Devedor;Nao;Sim;Sim;2.644,14;2.644,14
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;319;Nao;Devedor;Nao;Sim;Sim;20.400,00;20.400,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;507;Nao;Devedor;Nao;Nao;Nao;440;440
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;333;Nao;Devedor;Nao;Sim;Sim;448,4;448,4
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;384;Nao;Devedor;Nao;Sim;Sim;448,8;448,8
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;320;Nao;Devedor;Nao;Sim;Sim;20.000,00;20.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;356;Nao;Devedor;Nao;Sim;Sim;50.000,00;50.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;390;Nao;Quitado;Nao;Nao;Nao;448,8;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;264;Nao;Devedor;Nao;Sim;Sim;330.000,00;330.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;243;Sim;Quitado;Nao;Nao;Nao;2.050,95;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;269;Nao;Devedor;Nao;Sim;Sim;50.000,00;50.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;264;Nao;Devedor;Nao;Sim;Sim;440;440
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;431;Nao;Devedor;Nao;Nao;Sim;330.000,00;330.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SeAC;OUTROS;311;Nao;Devedor;Nao;Sim;Nao;21.000,00;21.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;236;Nao;Devedor;Nao;Nao;Nao;51.000,00;51.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;222;Nao;Devedor;Nao;Sim;Sim;3.971,94;3.971,94
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;215;Nao;Devedor;Nao;Sim;Nao;20.000,00;20.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;195;Sim;Quitado;Nao;Nao;Nao;333,3;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;179;Sim;Quitado;Nao;Nao;Nao;15.000,00;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;220;Sim;Quitado;Nao;Nao;Nao;1.865,31;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;208;Nao;Devedor;Nao;Sim;Sim;20.000,00;20.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;551;Nao;Devedor;Nao;Nao;Nao;440;440
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;514;Nao;Devedor;Nao;Nao;Sim;5.264,86;5.264,86
5,35001E+14;SFI;Obstrução à Fiscalização;STFC;OUTROS;326;Nao;Devedor;Nao;Nao;Nao;202.000,00;202.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;216;Nao;Devedor;Nao;Nao;Nao;11.338,54;11.338,54
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;209;Nao;Devedor;Nao;Sim;Sim;50.000,00;50.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;203;Sim;Quitado;Nao;Nao;Nao;330;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;202;Nao;Devedor;Nao;Sim;Nao;20.000,00;20.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SeAC;OUTROS;192;Nao;Devedor;Nao;Sim;Sim;20.000,00;20.000,00
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;182;Sim;Quitado;Nao;Nao;Nao;3.948,64;0
5,35001E+14;SFI;Obstrução à Fiscalização;SCM;OUTROS;167;Nao;Parcial;Nao;Nao;Nao;18.360,00;73,22
